,meter,source,statement,context,tags,TRUE,mostly-true,half-true,barely-true,FALSE,pants-fire
96,FALSE,Sean Hannity,“NOT A JOKE: Ilhan Omar Tells Residents ‘You Don’t Have to be Registered to Vote’ in Minnesota.”,a tweet,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
97,FALSE,Facebook posts,“Trump has won the election with 294 electoral votes.”,a Facebook post,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
98,FALSE,Facebook posts,An image shows “what appears to be an official ballot box being taken away from a polling location by an unidentified civilian.”,a Facebook post,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
99,fire,Donald Trump,“We already have won” the election.,a speech at the White House,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
100,FALSE,Tweets,"“Only sign outside Bucks County voting place. Democrats shown, republicans blurred out. … More scamming in Pennsylvania!”",a tweet,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
101,FALSE,Facebook posts,"“If Biden wins the election, there are people out there planning on mass murdering poc and lbgtq+ people. Please stay inside during the election and a few days after.”",a series of images and screenshots,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
102,FALSE,Instagram posts,"""Deep RED cities are not boarding up"" and the National Guard is ""not being called in, in case Biden wins.""",an image,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
103,half-true,Tweets,Poll watchers in Philadelphia prevented from entering polling places.,tweets,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
104,FALSE,Tweets,"A poll worker in Erie County, Pa., threw out over 100 ballots for Donald Trump.",a tweet,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
105,FALSE,Viral image,Stacks of bricks are showing up in Denver because “the Evil Left is getting ready to destroy downtown.”,a Facebook post,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
106,FALSE,Facebook posts,"“Trump supporters are blocking access to polling sites at Clifton City Hall, New Jersey.”",a Facebook post,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
107,FALSE,Facebook posts,Bricks are being “randomly placed all over Detroit.”,a Facebook post,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
108,FALSE,TikTok posts,“Biden says he doesn’t need voters to get elected.”,a video posted on TikTok,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
109,FALSE,Facebook posts,“Kohl's confirmed that they will be selling BLM merchandise” but are not selling “back the blue” at this time.,a Facebook post,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
110,FALSE,Bloggers,“Antifa gearing up for false flag violence disguised as Trump-supporters.”,a blog post,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
111,mostly-false,Viral image,"Broken voting machines in Russellville, Ark., tried to automatically tally votes meant for Donald Trump as votes for Joe Biden.",a post on Facebook,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
112,mostly-false,Facebook posts,Pennsylvania officials are “attempting to silence voters” by sending them letters that say they’ve been exposed to COVID-19 and “must remain quarantined and not vote in person on Election Day.”,a Facebook post,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
113,mostly-false,TikTok posts,"In Massachusetts, ""anybody can go vote for anybody so long as they have their information. … They're not even checking IDs at the polling stations.""",a video posted on TikTok,"['Elections', 'Facebook Fact-checks', 'Sean Hannity']",5,2,4,5,9,1
114,half-true,Robyn Vining,“People are less likely to just vote for party now. … They’re looking at the personalities.”,a TV interview,"['Elections', 'Wisconsin', 'Robyn Vining']",1,0,1,0,0,0
115,FALSE,Facebook posts,"Says President Trump’s Oct. 31 rally in Butler, Pa., drew over 57,000 people.",a Facebook post,"['Elections', 'Wisconsin', 'Robyn Vining']",1,0,1,0,0,0
116,FALSE,Facebook posts,Says Nancy Pelosi’s son served on the Burisma board with Hunter Biden.,a Facebook post,"['Elections', 'Wisconsin', 'Robyn Vining']",1,0,1,0,0,0
117,FALSE,Facebook posts,"“Kamala’s husband, a lawyer, represents the Communist Chinese Party in America!! Think about that!!”",a Facebook post,"['Elections', 'Wisconsin', 'Robyn Vining']",1,0,1,0,0,0
118,FALSE,Facebook posts,“Dems have removed any mention of ‘God’ from their Platform.”,a post on Facebook,"['Elections', 'Wisconsin', 'Robyn Vining']",1,0,1,0,0,0
119,FALSE,Tweets,Photo shows Joe Biden “doesn’t wear a mask on a plane.”,a tweet,"['Elections', 'Wisconsin', 'Robyn Vining']",1,0,1,0,0,0
120,fire,Donald Trump,Says his supporters were “protecting” Joe Biden’s campaign bus in Texas.,a campaign rally,"['Elections', 'Wisconsin', 'Robyn Vining']",1,0,1,0,0,0
121,mostly-false,Donald Trump,"“Joe Biden and Kamala Harris’ government-run health care plan… could lead to hospitals being closed, put Medicare coverage at risk, and give benefits to illegal immigrants.”",a TV ad,"['Elections', 'Wisconsin', 'Robyn Vining']",1,0,1,0,0,0
122,FALSE,Jason MIller,"“We will be over 290 electoral votes on Election Night ... no matter what they (Democrats) try to do, what kind of hijinks or lawsuits or whatever kind of nonsense they try to pull off.”","an interview on ABC's ""This Week""","['Elections', 'Jason MIller']",0,0,0,0,2,0
123,fire,Facebook posts,"Say Joe Biden told a crowd in Florida, ""Hello Minnesota!""",social media posts,"['Elections', 'Jason MIller']",0,0,0,0,2,0
124,mostly-false,Sam Brown Petsonk,"A lawsuit against the Affordable Care Act backed by West Virginia Attorney General Patrick Morrisey “would eliminate health care for over 800,000 West Virginians.”",a tweet,"['West Virginia', 'Health Care', 'Sam Brown Petsonk']",0,0,0,1,0,0
125,FALSE,Donald Trump,“Joe Biden called Black youth super predators.”,a tweet,"['West Virginia', 'Health Care', 'Sam Brown Petsonk']",0,0,0,1,0,0
126,FALSE,Tweets,Queens voters received pre-marked ballots for Joe Biden.,a tweet,"['West Virginia', 'Health Care', 'Sam Brown Petsonk']",0,0,0,1,0,0
127,mostly-true,JB Pritzker,"Says Illinois has made a ""nation-leading"" investment in funding for Census outreach.",a tweet,"['Census', 'Illinois', 'JB Pritzker']",0,4,2,6,2,0
128,FALSE,Donald Trump,"“Our doctors get more money if somebody dies from COVID. … So what they do is they say, ‘I'm sorry, but, you know, everybody dies of COVID.’""","a campaign rally in Waterford, Mich.","['Census', 'Illinois', 'JB Pritzker']",0,4,2,6,2,0
129,fire,TikTok posts,James Biden “built the cages” and “(the Bidens) made millions from it.”,a Tiktok post,"['Census', 'Illinois', 'JB Pritzker']",0,4,2,6,2,0
130,FALSE,Instagram posts,“The Green New Deal would require that 99% of homes in the country be torn down and rebuilt more ‘energy efficient’ over a ten year period.”,a post,"['Census', 'Illinois', 'JB Pritzker']",0,4,2,6,2,0
131,TRUE,Joe Biden,"""I’ve released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn’t released one.”",a rally,"['National', 'Candidate Biography', 'Ethics', 'Taxes', 'Joe Biden']",23,40,41,32,31,6
132,fire,Viral image,Photo shows a “clearly intoxicated” Kamala Harris “throwing up in the bushes & staggering aimlessly at the Cleveland airport.”,a Facebook post,"['National', 'Candidate Biography', 'Ethics', 'Taxes', 'Joe Biden']",23,40,41,32,31,6
133,FALSE,Facebook posts,"Says the toddler shown in a photo clinging to a police officer was found wandering, alone and barefoot, looking for his mother amid protests in Philadelphia.",a Facebook post,"['National', 'Candidate Biography', 'Ethics', 'Taxes', 'Joe Biden']",23,40,41,32,31,6
134,FALSE,Bloggers,“‘America is dead’ — Joe Biden actually said this at his Iowa rally.”,a Facebook post,"['National', 'Candidate Biography', 'Ethics', 'Taxes', 'Joe Biden']",23,40,41,32,31,6
135,FALSE,Viral image,Says Sean Connery wrote a letter to Steve Jobs refusing to be an Apple spokesman.,a Facebook post,"['National', 'Candidate Biography', 'Ethics', 'Taxes', 'Joe Biden']",23,40,41,32,31,6
136,FALSE,Viral image,“COVID ends next Wednesday.”,a Facebook post,"['National', 'Candidate Biography', 'Ethics', 'Taxes', 'Joe Biden']",23,40,41,32,31,6
137,TRUE,Theresa Greenfield,"Farm bankruptcies are ""at an eight-year high.""",comments at a campaign rally,"['Agriculture', 'Iowa', 'Theresa Greenfield']",1,1,1,0,0,0
